"","GOterm","ParentTerm","Factor","term","bh_adjust_Up","bh_adjust_Down","bh_adjust_Biomin"
"972","GO:0042775","mitochondrial electron transport, NADH to ubiquinone","Down","mitochondrial ATP synthesis coupled electron transport",NA,6.46906147185442e-11,NA
"973","GO:0042795","regulation of transcription by RNA polymerase II","Down","snRNA transcription by RNA polymerase II",NA,4.88712145739057e-07,NA
"974","GO:0042886","mRNA transport","Down, Up","amide transport",9.42188696127522e-79,1.57402188023121e-87,NA
"975","GO:0042981","apoptotic process","Down, Up","regulation of apoptotic process",3.45332314679095e-94,3.73086339212781e-83,NA
"976","GO:0043010","vulval development","Down, Up","camera-type eye development",3.20378926324208e-25,5.5064709444447e-18,NA
"977","GO:0043043","translation","Down, Up","peptide biosynthetic process",2.12477785636771e-28,1.50823632629499e-59,NA
"978","GO:0043062","extracellular matrix organization","Down, Up","extracellular structure organization",3.98770289835154e-15,2.28259919851228e-15,NA
"979","GO:0043065","apoptotic process","Down, Up","positive regulation of apoptotic process",5.53808317464332e-46,4.58450757607682e-38,NA
"980","GO:0043066","apoptotic process","Down, Up","negative regulation of apoptotic process",2.69821225161023e-56,3.15731066169107e-50,NA
"981","GO:0043067","apoptotic process","Down, Up","regulation of programmed cell death",1.32493761745869e-96,3.3536285717666e-84,NA
"982","GO:0043068","apoptotic process","Down, Up","positive regulation of programmed cell death",5.29675561079272e-48,1.35686796881524e-38,NA
"983","GO:0043069","apoptotic process","Down, Up","negative regulation of programmed cell death",5.6789011120058e-57,3.73637902182838e-51,NA
"984","GO:0043085","regulation of catalytic activity","Down, Up","positive regulation of catalytic activity",8.53178723842146e-90,1.1893188664212e-64,NA
"985","GO:0043086","regulation of catalytic activity","Down, Up","negative regulation of catalytic activity",1.99390219799668e-40,1.876868869063e-35,NA
"986","GO:0043087","regulation of catalytic activity","Down, Up","regulation of GTPase activity",6.68787528331597e-32,2.05038097206744e-16,NA
"987","GO:0043112","receptor metabolic process","Down, Up","receptor metabolic process",3.77084016436346e-10,2.57494355599154e-07,NA
"988","GO:0043122","intracellular signal transduction","Down, Up","regulation of I-kappaB kinase/NF-kappaB signaling",9.93888899370718e-07,5.12340163985534e-09,NA
"989","GO:0043161","proteolysis","Down, Up","proteasome-mediated ubiquitin-dependent protein catabolic process",3.98973918744289e-22,1.38454730070776e-26,NA
"990","GO:0043170","metabolic process","Down, Up, Biomin","macromolecule metabolic process",0,0,0
"991","GO:0043200","cellular oxidant detoxification","Down, Up","response to amino acid",2.85234514085051e-11,3.68768802676726e-06,NA
"992","GO:0043207","defense response to Gram-negative bacterium","Down, Up","response to external biotic stimulus",2.89281084737053e-44,3.98583421460311e-48,NA
"993","GO:0043244","translational termination","Up","regulation of protein-containing complex disassembly",5.85727283218781e-06,NA,NA
"994","GO:0043254","ribosome biogenesis","Down, Up","regulation of protein-containing complex assembly",3.83375721306865e-35,6.27999657128255e-30,NA
"995","GO:0043255","carbohydrate metabolic process","Down","regulation of carbohydrate biosynthetic process",NA,8.07090006748445e-07,NA
"996","GO:0043269","regulation of protein localization","Down, Up","regulation of monoatomic ion transport",8.14786513602969e-26,2.81023117591893e-21,NA
"997","GO:0043270","regulation of protein localization","Down, Up","positive regulation of monoatomic ion transport",2.90976518578991e-14,2.25468655406766e-12,NA
"998","GO:0043271","regulation of protein localization","Down, Up","negative regulation of monoatomic ion transport",2.87375802456927e-07,7.59193881212679e-07,NA
"999","GO:0043277","vesicle-mediated transport","Down, Up","apoptotic cell clearance",2.82711283420189e-07,2.80443888309064e-06,NA
"1000","GO:0043279","IRE1-mediated unfolded protein response","Down, Up","response to alkaloid",2.77861984806158e-06,5.68779940807304e-09,NA
"1001","GO:0043280","regulation of DNA-templated transcription","Down, Up","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process",8.64015914946965e-09,5.56020239426215e-08,NA
"1002","GO:0043281","regulation of DNA-templated transcription","Down, Up","regulation of cysteine-type endopeptidase activity involved in apoptotic process",2.20855066978057e-12,5.45719209282967e-09,NA
"1003","GO:0043297","synapse organization","Up","apical junction assembly",4.83161880563296e-06,NA,NA
"1004","GO:0043331","IRE1-mediated unfolded protein response","Down","response to dsRNA",NA,1.32115860203734e-06,NA
"1005","GO:0043393","regulation of catalytic activity","Down, Up","regulation of protein binding",2.141193613772e-18,1.66019647057693e-18,NA
"1006","GO:0043401","IRE1-mediated unfolded protein response","Up","steroid hormone mediated signaling pathway",1.96533694662822e-07,NA,NA
"1007","GO:0043405","regulation of catalytic activity","Down, Up","regulation of MAP kinase activity",2.61368086079199e-23,1.16065369743517e-16,NA
"1008","GO:0043406","regulation of catalytic activity","Down, Up","positive regulation of MAP kinase activity",1.12921697358307e-18,5.83789242120712e-11,NA
"1009","GO:0043407","intracellular signal transduction","Down","negative regulation of MAP kinase activity",NA,7.33251882308924e-06,NA
"1010","GO:0043408","intracellular signal transduction","Down, Up","regulation of MAPK cascade",6.80028243125139e-41,1.14640178363633e-31,NA
"1011","GO:0043409","intracellular signal transduction","Down, Up","negative regulation of MAPK cascade",1.54883030060401e-11,6.43078872813499e-13,NA
"1012","GO:0043410","intracellular signal transduction","Down, Up","positive regulation of MAPK cascade",9.70550240546204e-30,3.40799483750173e-19,NA
"1013","GO:0043412","protein ubiquitination","Down, Up, Biomin","macromolecule modification",9.49506062034069e-189,9.28544305691013e-186,0
"1014","GO:0043413","protein glycosylation","Down, Up","macromolecule glycosylation",1.00875015367354e-11,3.13127426317185e-14,NA
"1015","GO:0043414","methylation","Down, Up","macromolecule methylation",3.92958357394718e-18,6.88576340267046e-14,NA
"1016","GO:0043433","regulation of catalytic activity","Down, Up","negative regulation of DNA-binding transcription factor activity",1.36945957929105e-07,2.95422023559943e-11,NA
"1017","GO:0043434","IRE1-mediated unfolded protein response","Down, Up","response to peptide hormone",3.50493627298886e-27,2.83796418336722e-24,NA
"1018","GO:0043436","fatty acid metabolic process","Down, Up","oxoacid metabolic process",7.68401876097133e-60,1.54666676942622e-62,NA
"1019","GO:0043462","regulation of catalytic activity","Down, Up","regulation of ATP-dependent activity",1.27953935301175e-08,5.94700013265005e-06,NA
"1020","GO:0043467","mitochondrial electron transport, NADH to ubiquinone","Down, Up","regulation of generation of precursor metabolites and energy",3.39989739843884e-08,4.32261635935256e-11,NA
"1021","GO:0043473","developmental pigmentation","Down, Up","pigmentation",2.11032912223432e-14,2.27881867205817e-10,NA
"1022","GO:0043484","mRNA processing","Down, Up","regulation of RNA splicing",9.84464777556041e-14,1.29056124287517e-12,NA
"1023","GO:0043487","ubiquitin-dependent protein catabolic process","Down, Up","regulation of RNA stability",7.23081743284029e-11,1.00680969806103e-07,NA
"1024","GO:0043488","mRNA processing","Down, Up","regulation of mRNA stability",3.07737999577661e-09,7.5433321357178e-07,NA
"1025","GO:0043523","apoptotic process","Down, Up","regulation of neuron apoptotic process",1.74125142211355e-16,7.29009894703797e-18,NA
"1026","GO:0043525","apoptotic process","Down, Up","positive regulation of neuron apoptotic process",1.09915121822649e-07,6.71281255636939e-06,NA
"1027","GO:0043543","peptidyl-serine phosphorylation","Down, Up","protein acylation",2.90557791639255e-11,2.45847946203977e-19,NA
"1028","GO:0043547","regulation of catalytic activity","Down, Up","positive regulation of GTPase activity",7.0254112463637e-27,6.88449982627067e-15,NA
"1029","GO:0043549","regulation of catalytic activity","Down, Up","regulation of kinase activity",1.02285815579966e-51,3.95460402699703e-42,NA
"1030","GO:0043588","vulval development","Down, Up","skin development",8.02945421113741e-11,8.68995493627022e-10,NA
"1031","GO:0043603","translation","Down, Up","amide metabolic process",2.68643119976821e-47,7.49200226130887e-83,NA
"1032","GO:0043604","translation","Down, Up","amide biosynthetic process",2.16644285300096e-34,1.69901212540215e-65,NA
"1033","GO:0043618","DNA repair","Up","regulation of transcription from RNA polymerase II promoter in response to stress",2.44648716943272e-08,NA,NA
"1034","GO:0043620","DNA repair","Up","regulation of DNA-templated transcription in response to stress",2.44648716943272e-08,NA,NA
"1035","GO:0043632","ubiquitin-dependent protein catabolic process","Down, Up","modification-dependent macromolecule catabolic process",3.49161086695906e-34,8.70120742909278e-35,NA
"1036","GO:0043648","fatty acid metabolic process","Down, Up","dicarboxylic acid metabolic process",2.30580691173476e-06,2.15531667029707e-08,NA
"1037","GO:0043666","protein dephosphorylation","Up","regulation of phosphoprotein phosphatase activity",1.24684998875398e-06,NA,NA
"1038","GO:0043687","protein ubiquitination","Down, Up","post-translational protein modification",8.33916570650713e-21,9.69725633138587e-21,NA
"1039","GO:0043933","protein homooligomerization","Down, Up","protein-containing complex organization",3.45688416513462e-129,2.16492858615522e-133,NA
"1040","GO:0043967","peptidyl-serine phosphorylation","Down","histone H4 acetylation",NA,2.13916965559341e-06,NA
"1041","GO:0044057","sensory perception of chemical stimulus","Down, Up","regulation of system process",3.34027996570337e-28,4.22275611902012e-28,NA
"1042","GO:0044085","ribosome biogenesis","Down, Up, Biomin","cellular component biogenesis",1.34123606422042e-207,7.98926386044118e-201,7.20753874192697e-08
"1043","GO:0044087","ribosome biogenesis","Down, Up","regulation of cellular component biogenesis",1.81689592627106e-81,8.45694462872221e-63,NA
"1044","GO:0044088","mitochondrion organization","Up","regulation of vacuole organization",5.20821380195219e-06,NA,NA
"1045","GO:0044089","ribosome biogenesis","Down, Up","positive regulation of cellular component biogenesis",9.10731461670804e-44,7.48651279167884e-31,NA
"1046","GO:0044092","regulation of catalytic activity","Down, Up","negative regulation of molecular function",1.55432113870206e-60,8.4941222049072e-54,NA
"1047","GO:0044093","regulation of catalytic activity","Down, Up","positive regulation of molecular function",9.86719200176603e-109,5.16629116568583e-85,NA
"1048","GO:0044237","metabolic process","Down, Up, Biomin","cellular metabolic process",0,0,0
"1049","GO:0044238","metabolic process","Down, Up, Biomin","primary metabolic process",0,0,0
"1050","GO:0044242","lipid metabolic process","Down, Up","cellular lipid catabolic process",1.79895183424771e-12,1.5354668917822e-08,NA
"1051","GO:0044248","ubiquitin-dependent protein catabolic process","Down, Up, Biomin","cellular catabolic process",2.66001901466681e-108,1.16319146245202e-126,5.34425686722183e-06
"1052","GO:0044249","regulation of transcription by RNA polymerase II","Down, Up","cellular biosynthetic process",1.52988155122492e-178,3.8917353563476e-225,NA
"1053","GO:0044255","lipid metabolic process","Down, Up","cellular lipid metabolic process",7.6043283175148e-52,2.72101570291815e-43,NA
"1054","GO:0044260","translational initiation","Down, Up, Biomin","cellular macromolecule metabolic process",0,0,0
"1055","GO:0044262","carbohydrate metabolic process","Down, Up","cellular carbohydrate metabolic process",6.8278293480021e-12,2.300406899044e-09,NA
"1056","GO:0044264","carbohydrate metabolic process","Down, Up","cellular polysaccharide metabolic process",1.14220115502118e-06,9.33641912953068e-07,NA
"1057","GO:0044265","ubiquitin-dependent protein catabolic process","Down, Up","cellular macromolecule catabolic process",3.54242937289996e-58,2.22329890721001e-78,NA
"1058","GO:0044270","ubiquitin-dependent protein catabolic process","Down, Up","cellular nitrogen compound catabolic process",1.07607134988215e-25,1.37455839623701e-50,NA
"1059","GO:0044271","regulation of transcription by RNA polymerase II","Down, Up","cellular nitrogen compound biosynthetic process",1.67857946023795e-109,1.57445836566294e-159,NA
"1060","GO:0044272","sulfur compound metabolic process","Down, Up","sulfur compound biosynthetic process",7.28068344532091e-11,4.48030277818267e-09,NA
"1061","GO:0044281","fatty acid metabolic process","Down, Up, Biomin","small molecule metabolic process",8.15771278612244e-109,3.62906172636122e-118,4.76747442384671e-06
"1062","GO:0044282","ubiquitin-dependent protein catabolic process","Down, Up","small molecule catabolic process",3.57109502441769e-19,1.44074548913002e-22,NA
"1063","GO:0044283","fatty acid metabolic process","Down, Up","small molecule biosynthetic process",1.20237757780024e-34,1.93428907791424e-36,NA
"1064","GO:0044344","fibroblast growth factor receptor signaling pathway","Down, Up","cellular response to fibroblast growth factor stimulus",3.50200870616376e-09,6.94411349254526e-06,NA
"1065","GO:0044403","biological process involved in interspecies interaction between organisms","Down, Up","biological process involved in symbiotic interaction",5.4986781942339e-26,1.05651484897937e-19,NA
"1066","GO:0044419","biological process involved in interspecies interaction between organisms","Down, Up","biological process involved in interspecies interaction between organisms",5.4986781942339e-26,6.41289805085358e-21,NA
"1067","GO:0044703","reproduction","Down, Up, Biomin","multi-organism reproductive process",8.02434869860641e-122,2.70584722002224e-115,4.54290705847293e-06
"1068","GO:0044706","multi-multicellular organism process","Down, Up","multi-multicellular organism process",4.17268796207855e-13,1.96834147000516e-11,NA
"1069","GO:0044770","cell cycle","Down, Up","cell cycle phase transition",7.0400322323965e-20,7.76713264863878e-18,NA
"1070","GO:0044772","cell cycle","Down, Up","mitotic cell cycle phase transition",3.2451969317884e-19,2.9814070741969e-17,NA
"1071","GO:0044773","cell cycle","Up","mitotic DNA damage checkpoint signaling",1.20389838022155e-06,NA,NA
"1072","GO:0044774","cell cycle","Down, Up","mitotic DNA integrity checkpoint signaling",2.80579110438363e-07,1.28924508992909e-06,NA
"1073","GO:0044782","cilium assembly","Down, Up","cilium organization",1.83741252582593e-32,4.5594206326951e-26,NA
"1074","GO:0044839","cell cycle","Up","cell cycle G2/M phase transition",6.69675443991223e-09,NA,NA
"1075","GO:0044843","cell cycle","Down, Up","cell cycle G1/S phase transition",1.11015970220706e-09,1.16184879329095e-10,NA
"1076","GO:0045017","lipid metabolic process","Down, Up","glycerolipid biosynthetic process",8.68913076434486e-14,5.68433755826359e-15,NA
"1077","GO:0045047","protein transport","Down","protein targeting to ER",NA,1.75671221306947e-22,NA
"1078","GO:0045055","exocytosis","Down, Up","regulated exocytosis",1.2876279811928e-38,8.91019782610905e-40,NA
"1079","GO:0045087","innate immune response","Down, Up","innate immune response",7.6213711051839e-19,5.02574742021515e-21,NA
"1080","GO:0045088","defense response to Gram-negative bacterium","Down, Up","regulation of innate immune response",6.14715304957544e-19,4.91825159365346e-17,NA
"1081","GO:0045089","innate immune response","Down, Up","positive regulation of innate immune response",2.19145634696683e-12,4.21385029152627e-12,NA
"1082","GO:0045132","cell cycle","Down, Up","meiotic chromosome segregation",3.63367156516096e-08,9.46113153085826e-06,NA
"1083","GO:0045137","reproduction","Down, Up","development of primary sexual characteristics",1.14991955672823e-22,7.14846693666798e-26,NA
"1084","GO:0045165","cell fate specification","Down, Up","cell fate commitment",6.30126106914487e-38,1.26253401144081e-30,NA
"1085","GO:0045176","protein transport","Up","apical protein localization",2.95131359575776e-06,NA,NA
"1086","GO:0045184","protein transport","Down, Up","establishment of protein localization",1.00700142530495e-85,5.82169406991501e-92,NA
"1087","GO:0045185","regulation of lipid storage","Down, Up","maintenance of protein location",7.32899387719539e-09,7.69625095247024e-09,NA
"1088","GO:0045216","synapse organization","Down, Up","cell-cell junction organization",1.58844413077216e-12,9.13677654209948e-09,NA
"1089","GO:0045321","cell activation","Down, Up","leukocyte activation",1.8675567004731e-49,6.54451669141709e-46,NA
"1090","GO:0045333","mitochondrial electron transport, NADH to ubiquinone","Down, Up","cellular respiration",2.37817847987696e-11,2.30692994541013e-19,NA
"1091","GO:0045471","IRE1-mediated unfolded protein response","Down, Up","response to ethanol",6.20601621796254e-15,9.4598827807903e-15,NA
"1092","GO:0045595","regulation of neuron differentiation","Down, Up","regulation of cell differentiation",1.37197864176339e-121,1.71720031841191e-98,NA
"1093","GO:0045596","regulation of neuron differentiation","Down, Up","negative regulation of cell differentiation",1.49687705112264e-48,1.35277489255751e-38,NA
"1094","GO:0045597","regulation of neuron differentiation","Down, Up","positive regulation of cell differentiation",1.6586035016568e-67,2.61777906994007e-45,NA
"1095","GO:0045619","cell activation","Down, Up","regulation of lymphocyte differentiation",4.85635830248287e-07,6.31081336827717e-07,NA
"1096","GO:0045664","regulation of neuron differentiation","Down, Up","regulation of neuron differentiation",2.73530116169051e-62,8.80264998396469e-41,NA
"1097","GO:0045666","regulation of neuron differentiation","Down, Up","positive regulation of neuron differentiation",5.1869671639671e-40,6.02908817890351e-18,NA
"1098","GO:0045727","translation","Down, Up","positive regulation of translation",4.30139374673266e-12,2.91036197564205e-08,NA
"1099","GO:0045732","ubiquitin-dependent protein catabolic process","Down, Up","positive regulation of protein catabolic process",9.70026857837813e-25,1.62066848107307e-14,NA
"1100","GO:0045740","DNA replication","Up","positive regulation of DNA replication",4.83023203342469e-06,NA,NA
"1101","GO:0045746","transmembrane receptor protein tyrosine kinase signaling pathway","Down, Up","negative regulation of Notch signaling pathway",5.86576921296545e-10,3.94349849719994e-06,NA
"1102","GO:0045747","transmembrane receptor protein tyrosine kinase signaling pathway","Down","positive regulation of Notch signaling pathway",NA,5.66369343208685e-07,NA
"1103","GO:0045765","nervous system development","Down, Up","regulation of angiogenesis",1.52714875671717e-12,4.53057178445886e-12,NA
"1104","GO:0045773","positive regulation of axon extension","Up","positive regulation of axon extension",6.24488107998805e-07,NA,NA
"1105","GO:0045785","cell adhesion","Down, Up","positive regulation of cell adhesion",3.9515406101837e-18,4.7420267943958e-15,NA
"1106","GO:0045786","cell cycle","Down, Up","negative regulation of cell cycle",7.30835737609898e-40,1.13395127329946e-33,NA
"1107","GO:0045787","cell cycle","Down, Up","positive regulation of cell cycle",1.24385688792257e-30,2.53325959275234e-26,NA
"1108","GO:0045793","regulation of membrane potential","Up","positive regulation of cell size",3.39335023206786e-07,NA,NA
"1109","GO:0045807","regulation of protein localization","Down, Up","positive regulation of endocytosis",4.9205033544439e-16,1.51961667289031e-10,NA
"1110","GO:0045814","chromatin organization","Down, Up","negative regulation of gene expression, epigenetic",3.02308110750908e-07,1.73630524766819e-10,NA
"1111","GO:0045833","lipid metabolic process","Down","negative regulation of lipid metabolic process",NA,2.00093976565865e-06,NA
"1112","GO:0045834","lipid metabolic process","Down, Up","positive regulation of lipid metabolic process",8.92912992939423e-12,6.55381033470374e-06,NA
"1113","GO:0045839","mitochondrion organization","Up","negative regulation of mitotic nuclear division",5.64609821139495e-06,NA,NA
"1114","GO:0045859","regulation of DNA-templated transcription","Down, Up","regulation of protein kinase activity",5.04647958607429e-48,1.90673290211075e-37,NA
"1115","GO:0045860","regulation of catalytic activity","Down, Up","positive regulation of protein kinase activity",6.81346079892999e-33,2.01685371504681e-22,NA
"1116","GO:0045861","regulation of DNA-templated transcription","Down, Up","negative regulation of proteolysis",1.0188930232803e-13,1.77844573803388e-14,NA
"1117","GO:0045862","regulation of DNA-templated transcription","Down, Up","positive regulation of proteolysis",3.56642348103831e-31,4.45988863727125e-22,NA
"1118","GO:0045887","synapse organization","Up","positive regulation of synaptic assembly at neuromuscular junction",6.92398925810895e-07,NA,NA
"1119","GO:0045892","negative regulation of transcription by RNA polymerase II","Down, Up","negative regulation of DNA-templated transcription",2.61718018489123e-72,6.42586533438683e-64,NA
"1120","GO:0045893","positive regulation of transcription by RNA polymerase II","Down, Up","positive regulation of DNA-templated transcription",1.826973646093e-85,4.20299912648667e-83,NA
"1121","GO:0045921","exocytosis","Up","positive regulation of exocytosis",2.66241634168025e-06,NA,NA
"1122","GO:0045926","positive regulation of multicellular organism growth","Down, Up","negative regulation of growth",2.15894749822322e-24,2.11736565371996e-18,NA
"1123","GO:0045927","positive regulation of multicellular organism growth","Down, Up","positive regulation of growth",3.74097478322285e-37,1.04561377617391e-28,NA
"1124","GO:0045930","cell cycle","Down, Up","negative regulation of mitotic cell cycle",1.0261761531977e-21,5.8882342625788e-17,NA
"1125","GO:0045931","cell cycle","Down, Up","positive regulation of mitotic cell cycle",4.52235565013996e-17,4.8031586380765e-13,NA
"1126","GO:0045934","negative regulation of transcription by RNA polymerase II","Down, Up","negative regulation of nucleobase-containing compound metabolic process",3.20912603023595e-93,1.37668995321996e-77,NA
"1127","GO:0045935","positive regulation of transcription by RNA polymerase II","Down, Up","positive regulation of nucleobase-containing compound metabolic process",1.21994504758259e-107,6.33773146783887e-110,NA
"1128","GO:0045936","protein phosphorylation","Down, Up","negative regulation of phosphate metabolic process",3.11842923341886e-35,9.39628081346352e-33,NA
"1129","GO:0045937","protein phosphorylation","Down, Up","positive regulation of phosphate metabolic process",1.05038809157971e-57,6.19065743641753e-46,NA
"1130","GO:0045944","positive regulation of transcription by RNA polymerase II","Down, Up","positive regulation of transcription by RNA polymerase II",6.9382667514517e-62,3.45469572357279e-64,NA
"1131","GO:0045995","embryo development ending in birth or egg hatching","Down, Up","regulation of embryonic development",3.47195928605091e-19,1.86453611062188e-16,NA
"1132","GO:0046034","fatty acid metabolic process","Down, Up","ATP metabolic process",1.5242444531336e-12,2.07748665139403e-22,NA
"1133","GO:0046128","nucleoside metabolic process","Up","purine ribonucleoside metabolic process",1.74845938806979e-06,NA,NA
"1134","GO:0046328","intracellular signal transduction","Down, Up","regulation of JNK cascade",4.02569976252199e-14,1.81732366415396e-10,NA
"1135","GO:0046330","intracellular signal transduction","Down, Up","positive regulation of JNK cascade",1.48255254383755e-10,5.27269214901384e-06,NA
"1136","GO:0046390","nucleoside metabolic process","Down, Up","ribose phosphate biosynthetic process",1.97023654554685e-11,3.66877992602869e-15,NA
"1137","GO:0046394","fatty acid metabolic process","Down, Up","carboxylic acid biosynthetic process",1.90665489079285e-20,9.9551267359063e-22,NA
"1138","GO:0046395","ubiquitin-dependent protein catabolic process","Down, Up","carboxylic acid catabolic process",1.58575319574395e-12,1.50791434203019e-13,NA
"1139","GO:0046434","protein dephosphorylation","Down, Up","organophosphate catabolic process",5.39950436783416e-08,9.66222896250974e-10,NA
"1140","GO:0046474","lipid metabolic process","Down, Up","glycerophospholipid biosynthetic process",1.81771210554417e-13,1.94818424261902e-14,NA
"1141","GO:0046483","metabolic process","Down, Up, Biomin","heterocycle metabolic process",3.84578861940004e-223,6.15185189804859e-262,4.76747442384671e-06
"1142","GO:0046486","lipid metabolic process","Down, Up","glycerolipid metabolic process",9.83649683847447e-23,1.61487421187038e-19,NA
"1143","GO:0046488","lipid metabolic process","Down, Up","phosphatidylinositol metabolic process",3.5926525688933e-12,2.64422410500438e-08,NA
"1144","GO:0046496","NAD metabolic process","Down, Up","nicotinamide nucleotide metabolic process",5.69392142600941e-06,1.0187010248924e-09,NA
"1145","GO:0046545","reproduction","Down, Up","development of primary female sexual characteristics",1.10041855402398e-06,5.63723026447389e-06,NA
"1146","GO:0046546","reproduction","Down, Up","development of primary male sexual characteristics",2.52042061633185e-06,1.92253795056058e-09,NA
"1147","GO:0046578","intracellular signal transduction","Down, Up","regulation of Ras protein signal transduction",1.46358917679764e-14,3.3806408748778e-14,NA
"1148","GO:0046580","intracellular signal transduction","Down","negative regulation of Ras protein signal transduction",NA,2.87787703691746e-06,NA
"1149","GO:0046605","microtubule cytoskeleton organization","Up","regulation of centrosome cycle",1.39367749786544e-07,NA,NA
"1150","GO:0046620","positive regulation of multicellular organism growth","Down, Up","regulation of organ growth",8.92771215712034e-13,6.9703109823079e-07,NA
"1151","GO:0046622","positive regulation of multicellular organism growth","Up","positive regulation of organ growth",6.77539044022567e-08,NA,NA
"1152","GO:0046626","IRE1-mediated unfolded protein response","Down, Up","regulation of insulin receptor signaling pathway",7.74785538140265e-09,4.62712900272844e-07,NA
"1153","GO:0046649","cell activation","Down, Up","lymphocyte activation",9.95553904465246e-21,1.31319240479274e-18,NA
"1154","GO:0046660","reproduction","Down, Up","female sex differentiation",5.76538214598626e-08,2.30390444147703e-07,NA
"1155","GO:0046661","reproduction","Down, Up","male sex differentiation",1.85792491866616e-13,4.35484511476223e-17,NA
"1156","GO:0046683","IRE1-mediated unfolded protein response","Down, Up","response to organophosphorus",2.31081719872216e-07,4.21970198559483e-06,NA
"1157","GO:0046700","ubiquitin-dependent protein catabolic process","Down, Up","heterocycle catabolic process",2.30277707647876e-25,4.27240285138116e-51,NA
"1158","GO:0046716","intracellular calcium ion homeostasis","Down","muscle cell cellular homeostasis",NA,5.70768652756796e-08,NA
"1159","GO:0046777","protein phosphorylation","Down, Up","protein autophosphorylation",6.17941936640575e-19,5.36496310743394e-12,NA
"1160","GO:0046822","regulation of protein localization","Down, Up","regulation of nucleocytoplasmic transport",1.03674486981949e-14,2.96781564829388e-11,NA
"1161","GO:0046824","regulation of protein localization","Up","positive regulation of nucleocytoplasmic transport",3.20839959682175e-08,NA,NA
"1162","GO:0046834","lipid metabolic process","Up","lipid phosphorylation",2.91843804584983e-06,NA,NA
"1163","GO:0046883","regulation of membrane potential","Down, Up","regulation of hormone secretion",7.48909379914077e-13,6.1733328075735e-20,NA
"1164","GO:0046887","regulation of membrane potential","Down, Up","positive regulation of hormone secretion",2.7624978973467e-08,2.11399643994782e-13,NA
"1165","GO:0046890","lipid metabolic process","Up","regulation of lipid biosynthetic process",2.44430572487807e-15,NA,NA
"1166","GO:0046903","exocytosis","Down, Up","secretion",1.90283222319627e-62,1.67142467511765e-62,NA
"1167","GO:0046907","protein import into nucleus","Down, Up","intracellular transport",1.17272840689277e-126,2.75218459475279e-120,NA
"1168","GO:0046928","neurotransmitter transport","Down","regulation of neurotransmitter secretion",NA,2.94582503482934e-09,NA
"1169","GO:0046942","bicarbonate transport","Down, Up","carboxylic acid transport",1.66039587983947e-10,2.61764273399748e-10,NA
"1170","GO:0048002","innate immune response","Down, Up","antigen processing and presentation of peptide antigen",6.79090020825655e-12,6.50370919982115e-06,NA
"1171","GO:0048013","transmembrane receptor protein tyrosine kinase signaling pathway","Up","ephrin receptor signaling pathway",2.32619669276856e-06,NA,NA
"1172","GO:0048017","intracellular signal transduction","Up","inositol lipid-mediated signaling",9.20252814748497e-06,NA,NA
"1173","GO:0048024","mRNA processing","Down, Up","regulation of mRNA splicing, via spliceosome",7.67373386936758e-10,9.73535400608981e-11,NA
"1174","GO:0048066","developmental pigmentation","Down, Up","developmental pigmentation",8.08253721752321e-10,9.2556616029202e-07,NA
"1175","GO:0048167","chemical synaptic transmission","Down, Up","regulation of synaptic plasticity",9.40959048033318e-12,3.28463069889251e-07,NA
"1176","GO:0048193","vesicle-mediated transport","Down, Up","Golgi vesicle transport",1.19456161721088e-28,2.26387293028765e-19,NA
"1177","GO:0048194","endosome organization","Up","Golgi vesicle budding",5.43452351671122e-06,NA,NA
"1178","GO:0048232","reproduction","Down, Up, Biomin","male gamete generation",1.35220881700145e-48,2.20579955502513e-40,4.54290705847293e-06
"1179","GO:0048259","vesicle-mediated transport","Down, Up","regulation of receptor-mediated endocytosis",7.51708965057647e-09,7.42051830526745e-07,NA
"1180","GO:0048284","mitochondrion organization","Down, Up","organelle fusion",3.60896044062495e-10,3.16730883169339e-11,NA
"1181","GO:0048285","mitochondrion organization","Down, Up","organelle fission",2.41288753486504e-35,8.34984875358233e-24,NA
"1182","GO:0048332","morphogenesis of an epithelium","Up","mesoderm morphogenesis",3.15618093776785e-10,NA,NA
"1183","GO:0048468","cell differentiation","Down, Up, Biomin","cell development",2.50308708024841e-167,3.15263753881674e-152,0
"1184","GO:0048469","neuron remodeling","Down, Up","cell maturation",1.96649872142928e-22,7.43318224893194e-22,NA
"1185","GO:0048477","reproduction","Down, Up","oogenesis",1.87664388874073e-53,3.36842716500908e-57,NA
"1186","GO:0048488","vesicle-mediated transport","Down","synaptic vesicle endocytosis",NA,9.92381289675482e-07,NA
"1187","GO:0048489","nuclear migration","Down, Up","synaptic vesicle transport",8.98875093058036e-14,2.40190745581603e-12,NA
"1188","GO:0048511","circadian rhythm","Down, Up","rhythmic process",8.56075517774809e-15,2.00678809171168e-14,NA
"1189","GO:0048513","vulval development","Down, Up, Biomin","animal organ development",3.1098405528673e-231,1.01154652372961e-216,0
"1190","GO:0048514","nervous system development","Down, Up","blood vessel morphogenesis",7.71583420774889e-25,3.11494970082087e-14,NA
"1191","GO:0048515","reproduction","Down, Up","spermatid differentiation",8.58987973260379e-17,2.10836542082128e-14,NA
"1192","GO:0048518","positive regulation of transcription by RNA polymerase II","Down, Up, Biomin","positive regulation of biological process",0,7.5623043268394e-281,0
